Signal_Name,Latitude,Longitude
URK INNR,21.27918,81.639692
URK HOME,21.287115,81.643847
L XING:415,21.28875,81.64471
URK STR,21.298123,81.652132
L XING:414,21.300383,81.654955
URK ADV STR,21.303222,81.658413
NEU SEC,21.306598,81.662532
IB-INR-DIST,21.309635,81.666348
IBH SIG,21.315585,81.673803
MDH DIST,21.32144,81.681053
MDH INNR DIST,21.327717,81.68767
MDH HOME,21.333408,81.696418
MDH STR,21.339718,81.708048
MDH ADV STR,21.341183,81.71075
IB DIST,21.36073,81.727432
IB INNR DIST,21.367027,81.732602
IBH SIG,21.37521,81.73833
SLH DIST,21.400935,81.746955
L XING:406,21.407582,81.749162
SLH INR DIST,21.409655,81.749828
SLH HOME,21.419397,81.753002
L XING:405,21.422468,81.754003
SLH STR,21.431603,81.756998
SLH ADV STR,21.435603,81.7583
GATE SIG,21.44517,81.764493
L XING:404,21.446522,81.76547
IBH SIG,21.453638,81.767977
GATE SIG,21.460975,81.769987
L XING:403,21.462507,81.77041
GATE INR DIST,21.472965,81.773307
GATE SIG,21.481617,81.775675
L XING:401,21.483245,81.776122
BKTHW HOME,21.485513,81.776733
BKTHW STR,21.491425,81.778352
BKTHE HOME,21.504815,81.782022
BKTHE STR,21.514892,81.78479
GATE INR DIST,21.521965,81.786732
GATE SIG,21.530612,81.789112
L XING:399,21.532513,81.78964
TLD HOME,21.544333,81.792887
L XING:398,21.546455,81.793465
TLD STR,21.554928,81.795727
TLD ADV STR,21.56031,81.797305
GATE DIST,21.564587,81.798445
NEU SEC,21.572223,81.800503
GATE INR DIST,21.573447,81.800873
GATE SIG,21.582768,81.803442
L XING:395,21.58425,81.803888
L XING:394,21.593082,81.807437
IBH SIG,21.593248,81.807608
GATE DIST,21.60322,81.81748
GATE INNR DIST,21.610558,81.824763
GATE SIG,21.617037,81.831192
L XING:392,21.6183,81.832445
HN HOME,21.625032,81.83916
L XING:391,21.628563,81.842683
HN REP,21.631435,81.845402
HN STR,21.634342,81.848363
HN INT STR,21.640268,81.854255
HN INT STR,21.642795,81.85677
L XING:390,21.643708,81.85769
HN ADV STR,21.6469,81.860832
IB DIST,21.665435,81.879288
L XING:389,21.668265,81.88203
IB-INR-DIST,21.672433,81.88618
IBH SIG,21.679167,81.892862
GATE DIST,21.694925,81.90852
GATE INNR DIST,21.699802,81.91337
GATE SIG,21.706742,81.920287
L XING:386,21.70783,81.92137
BYT INNR DIST,21.713303,81.926822
BYT HOME,21.720058,81.933557
L XING:385,21.721277,81.934765
BYT INT HOME,21.726747,81.940208
BYT STR,21.73445,81.94777
BYT ADV STR,21.739022,81.952448
A:AR112,21.745725,81.959107
NEU SEC,21.748868,81.962152
A:AR108,21.75317,81.966517
A:AR104,21.76064,81.97396
SA G:AR100,21.768118,81.981412
L XING:382,21.769955,81.98321
A:AR96,21.77462,81.987875
A:AR92,21.780873,81.995053
A:AR88,21.785935,82.003187
SA G:AR84,21.790918,82.011187
L XING:380,21.792383,82.0135
A:AR80,21.796545,82.020217
SA G:AR76,21.802927,82.029333
L XING:379,21.80462,82.030435
A:AR72,21.810165,82.034038
NPI HOME,21.818663,82.039542
NPI STR,21.829135,82.046223
NPI ADV STR,21.834462,82.049722
A:AR62,21.844292,82.056095
NEU SEC,21.850062,82.059797
A:AR58,21.854822,82.062932
A:AR54,21.865168,82.068332
A:AR46,21.877553,82.070983
SA G:AR42,21.889993,82.070207
L XING:376,21.893143,82.069742
DGS HOME,21.898007,82.06905
DGS STR,21.910092,82.069067
DGS ADV STR,21.91443,82.069205
SA G:AR38,21.917302,82.069358
L XING:375,21.919038,82.069375
A:AR34,21.92597,82.069648
A:AR30,21.934832,82.069943
SA G:AR26,21.944675,82.070322
L XING:374,21.946288,82.070295
BYL HOME,21.952023,82.070563
L XING:373,21.957952,82.073673
BYL STR,21.966188,82.08059
BYL ADV STR,21.96904,82.083015
SA G:AR22,21.973003,82.086352
L XING:372,21.974517,82.087638
A:AR18,21.982187,82.094115
A:AR14,21.989682,82.10043
A:AR10,22.00123,82.110197
CHBT PH,22.001747,82.110595
A:AR6,22.00956,82.115103
DPH HOME,22.020242,82.119587
DPH STR,22.032948,82.125057
DPH ADV STR,22.036428,82.126553
A:AR2,22.044835,82.132177
NEU SEC,22.049303,82.135473
BSP HOME,22.05361,82.138622
BSP INT HOME,22.061138,82.150407
BSP INT HOME,22.057947,82.164778
BSP STR,22.055042,82.175467
BSP ADV STR,22.052663,82.184595
A:AJ2,22.050353,82.19357
A:AJ6,22.047172,82.20684
GTW HOME,22.049978,82.219198
GTW STR,22.05498,82.231215
GTW INT STR,22.055668,82.24124
GTW ADV STR,22.054972,82.243645
A:AJ10,22.050252,82.25508
A:AJ14,22.046347,82.264492
SA G:AJ18,22.042218,82.2744
L XING:361,22.041508,82.276108
NEU SEC AHEAD,22.039377,82.281263
JRMG HOME,22.037842,82.284987
JRMG STR,22.03411,82.298148
L XING:360,22.033742,82.300155
JRMG ADV STR,22.033537,82.301362
A:AJ22,22.031772,82.313757
A:AJ26,22.029988,82.326672
A:AJ30,22.026323,82.338298
A:AJ34,22.023542,82.348958
KTSH,22.024025,82.356845
A:AJ38,22.024305,82.360345
A:AJ42,22.02524,82.371925
A:AJ46,22.02608,82.382395
L XING:355,22.026257,82.384552
LATIA HOME,22.02724,82.396782
L XING:354,22.027415,82.398983
LATIA STR,22.027587,82.40113
AKT HOME,22.028533,82.412722
AKT STR,22.029522,82.424585
AKT ADV STR,22.029797,82.427717
A:AJ52,22.031247,82.435912
SA G:AJ56,22.0326,82.443303
L XING:351,22.033078,82.445823
A:AJ60,22.034495,82.455433
A:AJ64,22.032185,82.466585
A:AJ68,22.029302,82.477853
SA G:AJ72,22.026685,82.488067
KPNA,22.026038,82.491512
A:AJ76,22.026458,82.500893
NEU SEC AHEAD,22.027073,82.509703
A:AJ80,22.027358,82.514408
A:AJ84,22.028165,82.526667
A:AJ88,22.026803,82.5396
NIA HOME,22.025342,82.549982
L XING:345,22.02417,82.558528
NIA STR,22.023058,82.566778
NIA ADV STR,22.02217,82.572837
A:AJ92,22.020628,82.583525
A:AJ96,22.01995,82.593935
A:AJ100,22.020068,82.606388
A:AJ104,22.02016,82.616102
A:AJ108,22.020248,82.62646
A:AJ112,22.02283,82.63591
A:AJ116,22.027873,82.644322
CPH HOME,22.034168,82.654273
L XING:338,22.03466,82.655857
CPH STR,22.034283,82.667228
CPH ADV STR,22.032798,82.675758
NEU SEC AHEAD,22.0318,82.681383
SAG:AJ122,22.031215,82.684242
L XING:336,22.030853,82.686257
SAG:AJ124,22.029805,82.692083
L XING:335,22.029435,82.694148
A:AJ126,22.02742,82.705282
SAG:AJ128,22.02506,82.718295
L XING:334,22.024455,82.721637
SRGD HOME,22.02264,82.731662
SRGD STR,22.020088,82.745567
SRGD ADV STR,22.019355,82.749637
SRGD PH,22.01999,82.74598
BUA DIST,22.015547,82.78048
BUA INNR DIST,22.014465,82.79009
BUA HOME,22.01335,82.799995
BUA STR,22.011593,82.815713
L XING:328,22.011328,82.818417
BUA INT STR 66,22.011328,82.82004
BUA INT STR 68,22.012045,82.826918
BUA INT STR 70,22.013352,82.837838
BUA ADV STR,22.013605,82.83985
IB DIST,22.015105,82.85257
IB INNR DIST,22.016248,82.863187
JDDA PH,22.016295,82.867582
IB,22.016317,82.873285
GATE SIG,22.01635,82.879353
L XING:324,22.016358,82.88138
SKT DIST,22.009718,82.928243
SKT INNR DIST,22.010287,82.938065
SKT HOME,22.011073,82.947767
SKT STR,22.012092,82.959082
L XING:321,22.01212,82.960705
SKT ADV STR,22.012628,82.966572
L XING:320,22.012705,82.968193
IB DIST,22.011665,82.974637
IB INNR DIST,22.009343,82.983507
IB,22.010347,82.993258
JDI DIST,22.005213,83.025012
NEU SEC AHEAD,22.004097,83.030728
JDI INNR DIST,22.003322,83.034727
JDI HOME,22.001455,83.044363
JDI STR,21.9992,83.056
L XING:306,21.998347,83.060407
JDI ADV STR,21.998347,83.060407
KHS DIST,21.996297,83.070998
KHS INNR DIST,21.994128,83.08097
KHS HOME,21.991783,83.090387
L XING:310,21.990883,83.096372
KHS STR,21.992872,83.106717
KHS ADV STR,21.993228,83.108203
NEU SEC AHEAD,21.994522,83.113777
GATE INNR DIST,21.994965,83.115623
GATE SIG,21.997158,83.12472
L XING:311,21.997518,83.126705
IB,21.997718,83.130193
ROB DIST,21.997672,83.149137
ROB INNR DIST,21.995992,83.159305
ROB HOME,21.992973,83.168377
ROB STR,21.989813,83.1861
L XING:305,21.99057,83.188658
ROB ADV STR,21.99057,83.188658
SPGL INNR DIST,21.994128,83.196457
SPGL HOME,21.9981,83.20505
L XING:303,21.998908,83.2068
SPGL STR,22.00071,83.213385
GATE SIG,21.99543,83.22829
L XING:301,21.994493,83.229712
BEF DIST,21.989668,83.236987
BEF INNR DIST,21.98439,83.244888
BEF HOME,21.978968,83.253178
L XING:299,21.977253,83.25581
BEF STR,21.972885,83.262388
L XING:298,21.97167,83.264348
BEF INT STR,21.969613,83.267547
BEF ADV STR,21.96699,83.271408
NEU SEC AHEAD,21.96764,83.270463
GATE SIG,21.962407,83.278257
L XING:297,21.961338,83.279883
IB,21.954797,83.289768
KDTR DIST,21.945185,83.304287
KDTR INNR DIST,21.939997,83.312123
KDTR HOME,21.934638,83.320205
L XING:293,21.933717,83.321595
KDTR STR,21.925225,83.334322
KDTR ADV STR,21.922563,83.338393
JSPL HOME,21.91678,83.347042
JSPL STR,21.910767,83.356112
JSPL ADV STR,21.909305,83.35832
RIG DIST,21.90596,83.36338
RIG INNR DIST,21.900592,83.371347
NEU SEC AHEAD,21.897778,83.375567
RIG HOME,21.894927,83.379843
RIG STR,21.890823,83.392612
